"subject_id","trial_type","original_trial_index","x","y","item"
"subj_01","free_sort",5,79,211,"become hungry"
"subj_01","free_sort",5,158,346,"see something"
"subj_01","free_sort",5,275,215,"choose what to do"
"subj_01","free_sort",5,347,472,"sit down"
"subj_01","free_sort",5,343,54,"take a walk"
"subj_01","free_sort",5,400,150,"feel scared"
"subj_01","free_sort",5,472,161,"experience pain"
"subj_01","free_sort",5,154,96,"think about something"
"subj_01","free_sort",5,34,333,"get tired"
"subj_01","free_sort",5,221,488,"jump up and down"
"subj_01","free_sort",5,477,403,"get sick"
"subj_01","free_sort",5,418,280,"reach for something"
"subj_01","free_sort",5,339,363,"kick something"
"subj_01","free_sort",5,224,97,"remember something"
"subj_01","free_sort",5,217,354,"hear something"
"subj_02","free_sort",21,300,70,"think about something"
"subj_02","free_sort",21,145,445,"jump up and down"
"subj_02","free_sort",21,159,148,"kick something"
"subj_02","free_sort",21,61,290,"hear something"
"subj_02","free_sort",21,439,336,"choose what to do"
"subj_02","free_sort",21,148,126,"experience pain"
"subj_02","free_sort",21,66,321,"remember something"
"subj_02","free_sort",21,483,150,"take a walk"
"subj_02","free_sort",21,344,78,"see something"
"subj_02","free_sort",21,217,321,"become hungry"
"subj_02","free_sort",21,490,180,"sit down"
"subj_02","free_sort",21,329,254,"feel scared"
"subj_02","free_sort",21,356,468,"get sick"
"subj_02","free_sort",21,156,474,"reach for something"
"subj_02","free_sort",21,392,458,"get tired"
"subj_03","free_sort",5,500,282,"hear something"
"subj_03","free_sort",5,1,277,"take a walk"
"subj_03","free_sort",5,245,89,"feel scared"
"subj_03","free_sort",5,430,312,"remember something"
"subj_03","free_sort",5,186,511,"sit down"
"subj_03","free_sort",5,269,532,"choose what to do"
"subj_03","free_sort",5,156,60,"get sick"
"subj_03","free_sort",5,201,445,"get tired"
"subj_03","free_sort",5,539,217,"think about something"
"subj_03","free_sort",5,275,457,"become hungry"
"subj_03","free_sort",5,69,292,"jump up and down"
"subj_03","free_sort",5,536,300,"reach for something"
"subj_03","free_sort",5,299,19,"experience pain"
"subj_03","free_sort",5,456,218,"see something"
"subj_03","free_sort",5,13,350,"kick something"
"subj_04","free_sort",5,422,145,"jump up and down"
"subj_04","free_sort",5,164,455,"get sick"
"subj_04","free_sort",5,294,325,"see something"
"subj_04","free_sort",5,62,278,"remember something"
"subj_04","free_sort",5,348,57,"take a walk"
"subj_04","free_sort",5,116,107,"choose what to do"
"subj_04","free_sort",5,451,328,"get tired"
"subj_04","free_sort",5,299,304,"hear something"
"subj_04","free_sort",5,100,261,"think about something"
"subj_04","free_sort",5,185,469,"experience pain"
"subj_04","free_sort",5,477,353,"become hungry"
"subj_04","free_sort",5,432,172,"kick something"
"subj_04","free_sort",5,328,69,"reach for something"
"subj_04","free_sort",5,132,96,"sit down"
"subj_04","free_sort",5,188,433,"feel scared"
"subj_05","free_sort",21,296,35,"kick something"
"subj_05","free_sort",21,179,214,"experience pain"
"subj_05","free_sort",21,255,439,"think about something"
"subj_05","free_sort",21,50,246,"get sick"
"subj_05","free_sort",21,136,410,"become hungry"
"subj_05","free_sort",21,351,161,"hear something"
"subj_05","free_sort",21,402,123,"take a walk"
"subj_05","free_sort",21,257,319,"choose what to do"
"subj_05","free_sort",21,444,180,"get tired"
"subj_05","free_sort",21,316,448,"remember something"
"subj_05","free_sort",21,232,69,"feel scared"
"subj_05","free_sort",21,192,375,"reach for something"
"subj_05","free_sort",21,320,287,"see something"
"subj_05","free_sort",21,100,187,"sit down"
